id,Organization unit code,Organization group,parentId
NovaEnergy Mock 140,NovaEnergy-140,Facility,SHMIY
NovaEnergy Mock 141,NovaEnergy-141,Facility,SHMIY
NovaEnergy Mock 142,NovaEnergy-142,Facility,SHMIY
NovaEnergy Mock 143,NovaEnergy-143,Facility,SHMIY
NovaEnergy Mock 144,NovaEnergy-144,Facility,Aurora 
NovaEnergy Mock 145,NovaEnergy-145,Facility,Aurora 
NovaEnergy Mock 146,NovaEnergy-146,Facility,Aurora 
NovaEnergy Mock 147,NovaEnergy-147,Facility,Aurora 
NovaEnergy Mock 148,NovaEnergy-148,Facility,Aurora 
NovaEnergy Mock 149,NovaEnergy-149,Facility,Aurora 
NovaEnergy Mock 150,NovaEnergy-150,Facility,Aurora 
NovaEnergy Mock 151,NovaEnergy-151,Facility,Aurora 
NovaEnergy Mock 152,NovaEnergy-152,Facility,Aurora 
NovaEnergy Mock 153,NovaEnergy-153,Facility,Aurora 
NovaEnergy Mock 154,NovaEnergy-154,Facility,Aurora 
NovaEnergy Mock 155,NovaEnergy-155,Facility,Aurora 
NovaEnergy Mock 156,NovaEnergy-156,Facility,Aurora 
NovaEnergy Mock 157,NovaEnergy-157,Facility,Aurora 
NovaEnergy Mock 158,NovaEnergy-158,Facility,Aurora 
NovaEnergy Mock 159,NovaEnergy-159,Facility,Aurora 
NovaEnergy Mock 160,NovaEnergy-160,Facility,Aurora 
NovaEnergy Mock 161,NovaEnergy-161,Facility,Aurora 
NovaEnergy Mock 162,NovaEnergy-162,Facility,Aurora 
NovaEnergy Mock 163,NovaEnergy-163,Facility,Aurora 
NovaEnergy Mock 164,NovaEnergy-164,Facility,Aurora 
NovaEnergy Mock 165,NovaEnergy-165,Facility,Aurora 
NovaEnergy Mock 166,NovaEnergy-166,Facility,Aurora 
NovaEnergy Mock 167,NovaEnergy-167,Facility,Aurora 
NovaEnergy Mock 168,NovaEnergy-168,Facility,Aurora 
NovaEnergy Mock 169,NovaEnergy-169,Facility,Aurora 
NovaEnergy Mock 170,NovaEnergy-170,Facility,Aurora 
NovaEnergy Mock 171,NovaEnergy-171,Facility,Aurora 
NovaEnergy Mock 172,NovaEnergy-172,Facility,Aurora 
NovaEnergy Mock 173,NovaEnergy-173,Facility,Aurora 
NovaEnergy Mock 174,NovaEnergy-174,Facility,Aurora 
NovaEnergy Mock 175,NovaEnergy-175,Facility,Aurora 
NovaEnergy Mock 176,NovaEnergy-176,Facility,Aurora 
NovaEnergy Mock 177,NovaEnergy-177,Facility,Aurora 
NovaEnergy Mock 178,NovaEnergy-178,Facility,Aurora 
NovaEnergy Mock 179,NovaEnergy-179,Facility,Aurora 
NovaEnergy Mock 180,NovaEnergy-180,Facility,Aurora 
NovaEnergy Mock 181,NovaEnergy-181,Facility,Aurora 
NovaEnergy Mock 182,NovaEnergy-182,Facility,Aurora 
NovaEnergy Mock 183,NovaEnergy-183,Facility,Aurora 
NovaEnergy Mock 184,NovaEnergy-184,Facility,Aurora 
NovaEnergy Mock 185,NovaEnergy-185,Facility,Aurora 
NovaEnergy Mock 186,NovaEnergy-186,Facility,Aurora 
FrontierEnergy Mock 1,NovaEnergy-187,Facility,FrontierEnergy 
FrontierEnergy Mock 2,NovaEnergy-188,Facility,FrontierEnergy 
FrontierEnergy Mock 3,NovaEnergy-189,Facility,FrontierEnergy 
FrontierEnergy Mock 4,NovaEnergy-190,Facility,FrontierEnergy 
FrontierEnergy Mock 5,NovaEnergy-191,Facility,FrontierEnergy 
FrontierEnergy Mock 6,NovaEnergy-192,Facility,FrontierEnergy 
FrontierEnergy Mock 7,NovaEnergy-193,Facility,FrontierEnergy 
FrontierEnergy Mock 8,NovaEnergy-194,Facility,FrontierEnergy 
FrontierEnergy Mock 9,NovaEnergy-195,Facility,FrontierEnergy 
FrontierEnergy Mock 10,NovaEnergy-196,Facility,FrontierEnergy 
FrontierEnergy Mock 11,NovaEnergy-197,Facility,FrontierEnergy 
FrontierEnergy Mock 12,NovaEnergy-198,Facility,FrontierEnergy 
FrontierEnergy Mock 13,NovaEnergy-199,Facility,FrontierEnergy 
FrontierEnergy Mock 14,NovaEnergy-200,Facility,FrontierEnergy 
FrontierEnergy Mock 15,FAC-BF9-M ,Facility ,FrontierEnergy 
FrontierEnergy Mock 16,FAC-BZ7-R ,Facility ,FrontierEnergy 
FrontierEnergy Mock 17,FAC-CG9-P ,Facility ,FrontierEnergy 
FrontierEnergy Mock 18,FAC-OC0-O ,Facility ,FrontierEnergy 
FrontierEnergy Mock 19,FAC-RJ2-G ,Facility ,FrontierEnergy 
FrontierEnergy Mock 20,FAC-MU5-L ,Facility ,FrontierEnergy 
FrontierEnergy Mock 21,FAC-OY4-N ,Facility ,FrontierEnergy 
FrontierEnergy Mock 22,FAC-DZ7-F ,Facility ,FrontierEnergy 
FrontierEnergy Mock 23,FAC-IF8-Z ,Facility ,FrontierEnergy 
FrontierEnergy Mock 24,FAC-NP1-E ,Facility ,FrontierEnergy 
FrontierEnergy Mock 25,FAC-PP7-A ,Facility ,FrontierEnergy 
FrontierEnergy Mock 26,FAC-SX5-X ,Facility,FrontierEnergy 
