id,name,group,parentId,level,latitude,longitude,status
Australia Mock 31,Australia-31,Facility,Horizon,4,19.1614,52.82802587,non-operating
America Mock 32,America-32,Facility,Horizon,4,15.4387,57.14039476,operating
Asia Mock 33,Asia-33,Facility,Horizon,4,37.7749,61.45276364,non-operating
Asia Mock 34,Asia-34,Facility,Horizon,4,34.0522,65.76513252,operating
Europe Mock 35,Europe-35,Facility,Horizon,4,30.3295,70.0775014,non-operating
Asia Mock 36,Asia-36,Facility,Horizon,4,26.6068,74.38987028,operating
Europe Mock 37,Europe-37,Facility,Horizon,4,22.8841,78.70223916,non-operating
Asia Mock 38,Asia-38,Facility,Horizon,4,19.1614,83.01460804,operating
America Mock 39,America-39,Facility,Horizon,4,15.4387,87.32697692,operating
America Mock 40,America-40,Facility,Horizon,4,37.7749,91.6393458,non-operating
Australia Mock 41,Australia-41,Facility,Horizon,4,34.0522,95.95171469,operating
Australia Mock 42,Australia-42,Facility,Horizon,4,30.3295,100.2640836,non-operating
Europe Mock 43,Europe-43,Facility,Horizon,4,26.6068,104.5764524,operating
Australia Mock 44,Australia-44,Facility,NovaEnergy,4,22.8841,108.8888213,non-operating
Europe Mock 45,Europe-45,Facility,NovaEnergy,4,19.1614,113.2011902,operating
America Mock 46,America-46,Facility,NovaEnergy,4,15.4387,117.5135591,non-operating
Australia Mock 47,Australia-47,Facility,NovaEnergy,4,37.7749,121.825928,operating
Australia Mock 48,Australia-48,Facility,NovaEnergy,4,34.0522,126.1382969,non-operating
South America Mock 49,South America-49,Facility,NovaEnergy,4,30.3295,130.4506657,operating
South America Mock 50,South America-50,Facility,NovaEnergy,4,26.6068,-122.4194,operating
Australia Mock 51,Australia-51,Facility,NovaEnergy,4,22.8841,-118.2437,non-operating
Asia Mock 52,Asia-52,Facility,NovaEnergy,4,19.1614,-74.006,operating
South America Mock 53,South America-53,Facility,NovaEnergy,4,15.4387,-0.1278,non-operating
Australia Mock 54,Australia-54,Facility,NovaEnergy,4,37.7749,-122.4194,operating
Australia Mock 55,Australia-55,Facility,NovaEnergy,4,34.0522,-118.2437,non-operating
America Mock 56,America-56,Facility,NovaEnergy,4,30.3295,-74.006,operating
Asia Mock 57,Asia-57,Facility,RudraOil,4,26.6068,-0.1278,non-operating
America Mock 58,America-58,Facility,RudraOil,4,22.8841,-122.4194,operating
South America Mock 59,South America-59,Facility,RudraOil,4,19.1614,-118.2437,non-operating
South America Mock 60,South America-60,Facility,RudraOil,4,15.4387,-74.006,operating
America Mock 61,America-61,Facility,RudraOil,4,37.7749,-0.1278,operating
Europe Mock 62,Europe-62,Facility,RudraOil,4,34.0522,-50.66882727,non-operating
South America Mock 63,South America-63,Facility,RudraOil,4,30.3295,-46.35645839,operating
Europe Mock 64,Europe-64,Facility,RudraOil,4,26.6068,-42.04408951,non-operating
Australia Mock 65,Australia-65,Facility,RudraOil,4,22.8841,-37.73172063,operating
Australia Mock 66,Australia-66,Facility,RudraOil,4,19.1614,-33.41935175,non-operating
Australia Mock 67,Australia-67,Facility,RudraOil,4,15.4387,-29.10698287,operating
South America Mock 68,South America-68,Facility,RudraOil,4,37.7749,-24.79461399,non-operating
America Mock 69,America-69,Facility,RudraOil,4,34.0522,-20.4822451,operating
America Mock 70,America-70,Facility,RudraOil,4,30.3295,-16.16987622,non-operating
South America Mock 71,South America-71,Facility,RudraOil,4,26.6068,-11.85750734,operating
Australia Mock 72,Australia-72,Facility,RudraOil,4,22.8841,-7.545138462,operating
South America Mock 73,South America-73,Facility,RudraOil,4,19.1614,-3.23276958,non-operating
America Mock 74,America-74,Facility,RudraOil,4,15.4387,1.079599301,operating
South America Mock 75,South America-75,Facility,RudraOil,4,37.7749,5.391968182,non-operating
Europe Mock 76,Europe-76,Facility,RudraOil,4,34.0522,9.704337063,operating
Europe Mock 77,Europe-77,Facility,RudraOil,4,30.3295,14.01670594,non-operating
South America Mock 78,South America-78,Facility,RudraOil,4,26.6068,18.32907483,operating
Australia Mock 79,Australia-79,Facility,RudraOil,4,22.8841,22.64144371,non-operating
Asia Mock 80,Asia-80,Facility,Rudra,4,19.1614,26.95381259,operating
Asia Mock 81,Asia-81,Facility,Rudra,4,15.4387,31.26618147,non-operating
Asia Mock 82,Asia-82,Facility,Rudra,4,37.7749,35.57855035,operating
Europe Mock 83,Europe-83,Facility,Rudra,4,34.0522,39.89091923,operating
Australia Mock 84,Australia-84,Facility,Rudra,4,30.3295,44.20328811,non-operating
South America Mock 85,South America-85,Facility,Rudra,4,26.6068,48.51565699,operating
South America Mock 86,South America-86,Facility,Rudra,4,22.8841,52.82802587,non-operating
South America Mock 87,South America-87,Facility,Rudra,4,19.1614,57.14039476,operating
Europe Mock 88,Europe-88,Facility,Rudra,4,15.4387,61.45276364,non-operating
Asia Mock 89,Asia-89,Facility,Rudra,4,37.7749,65.76513252,operating
Europe Mock 90,Europe-90,Facility,Rudra,4,34.0522,70.0775014,non-operating
America Mock 91,America-91,Facility,Rudra,4,30.3295,74.38987028,operating
Europe Mock 92,Europe-92,Facility,Rudra,4,26.6068,78.70223916,non-operating
Europe Mock 93,Europe-93,Facility,Rudra,4,22.8841,83.01460804,operating
Asia Mock 94,Asia-94,Facility,Rudra,4,19.1614,87.32697692,operating
South America Mock 95,South America-95,Facility,Rudra,4,15.4387,91.6393458,non-operating
Europe Mock 96,Europe-96,Facility,Rudra,4,37.7749,95.95171469,operating
South America Mock 97,South America-97,Facility,Rudra,4,34.0522,100.2640836,non-operating
America Mock 98,America-98,Facility,Rudra,4,30.3295,104.5764524,operating
Asia Mock 99,Asia-99,Facility,Rudra,4,26.6068,108.8888213,non-operating
Australia Mock 100,Australia-100,Facility,Rudra,4,22.8841,113.2011902,operating
NovaEnergy Mock 101,NovaEnergy-101,Facility,Rudra,4,19.1614,117.5135591,non-operating
NovaEnergy Mock 102,NovaEnergy-102,Facility,Rudra,4,15.4387,121.825928,operating
NovaEnergy Mock 103,NovaEnergy-103,Facility,Rudra,4,37.7749,126.1382969,non-operating
NovaEnergy Mock 104,NovaEnergy-104,Facility,Rudra,4,34.0522,130.4506657,operating
NovaEnergy Mock 105,NovaEnergy-105,Facility,Rudra,4,30.3295,-122.4194,operating
NovaEnergy Mock 106,NovaEnergy-106,Facility,Rudra,4,26.6068,-118.2437,non-operating
NovaEnergy Mock 107,NovaEnergy-107,Facility,Rudra,4,22.8841,-74.006,operating
NovaEnergy Mock 108,NovaEnergy-108,Facility,Rudra,4,19.1614,-0.1278,non-operating
NovaEnergy Mock 109,NovaEnergy-109,Facility,Rudra,4,15.4387,-122.4194,operating
NovaEnergy Mock 110,NovaEnergy-110,Facility,Rudra,4,37.7749,-118.2437,non-operating
NovaEnergy Mock 111,NovaEnergy-111,Facility,Rudra,4,34.0522,-74.006,operating
NovaEnergy Mock 112,NovaEnergy-112,Facility,SHMIY,4,30.3295,-0.1278,non-operating
NovaEnergy Mock 113,NovaEnergy-113,Facility,SHMIY,4,26.6068,-122.4194,operating
NovaEnergy Mock 114,NovaEnergy-114,Facility,SHMIY,4,22.8841,-118.2437,non-operating
NovaEnergy Mock 115,NovaEnergy-115,Facility,SHMIY,4,19.1614,-74.006,operating
NovaEnergy Mock 116,NovaEnergy-116,Facility,SHMIY,4,15.4387,-0.1278,operating
NovaEnergy Mock 117,NovaEnergy-117,Facility,SHMIY,4,11.716,-50.66882727,non-operating
NovaEnergy Mock 118,NovaEnergy-118,Facility,SHMIY,4,7.9933,-46.35645839,operating
NovaEnergy Mock 119,NovaEnergy-119,Facility,SHMIY,4,4.2706,-42.04408951,non-operating
NovaEnergy Mock 120,NovaEnergy-120,Facility,SHMIY,4,37.7749,-37.73172063,operating
NovaEnergy Mock 121,NovaEnergy-121,Facility,SHMIY,4,34.0522,-33.41935175,non-operating
NovaEnergy Mock 122,NovaEnergy-122,Facility,SHMIY,4,30.3295,-29.10698287,operating
NovaEnergy Mock 123,NovaEnergy-123,Facility,SHMIY,4,26.6068,-24.79461399,non-operating
NovaEnergy Mock 124,NovaEnergy-124,Facility,SHMIY,4,22.8841,-20.4822451,operating
NovaEnergy Mock 125,NovaEnergy-125,Facility,SHMIY,4,19.1614,-16.16987622,non-operating
NovaEnergy Mock 126,NovaEnergy-126,Facility,SHMIY,4,15.4387,-11.85750734,operating
NovaEnergy Mock 127,NovaEnergy-127,Facility,SHMIY,4,37.7749,-7.545138462,operating
NovaEnergy Mock 128,NovaEnergy-128,Facility,SHMIY,4,34.0522,-3.23276958,non-operating
NovaEnergy Mock 129,NovaEnergy-129,Facility,SHMIY,4,30.3295,1.079599301,operating
NovaEnergy Mock 130,NovaEnergy-130,Facility,SHMIY,4,26.6068,5.391968182,non-operating
NovaEnergy Mock 131,NovaEnergy-131,Facility,SHMIY,4,22.8841,9.704337063,operating
NovaEnergy Mock 132,NovaEnergy-132,Facility,SHMIY,4,19.1614,14.01670594,non-operating
NovaEnergy Mock 133,NovaEnergy-133,Facility,SHMIY,4,15.4387,18.32907483,operating
NovaEnergy Mock 134,NovaEnergy-134,Facility,SHMIY,4,37.7749,22.64144371,non-operating
NovaEnergy Mock 135,NovaEnergy-135,Facility,SHMIY,4,34.0522,26.95381259,operating
NovaEnergy Mock 136,NovaEnergy-136,Facility,SHMIY,4,30.3295,31.26618147,non-operating
NovaEnergy Mock 137,NovaEnergy-137,Facility,SHMIY,4,26.6068,35.57855035,operating
NovaEnergy Mock 138,NovaEnergy-138,Facility,SHMIY,4,22.8841,39.89091923,operating
NovaEnergy Mock 139,NovaEnergy-139,Facility,SHMIY,4,19.1614,44.20328811,non-operating
NovaEnergy Mock 140,NovaEnergy-140,Facility,SHMIY,4,15.4387,48.51565699,operating
NovaEnergy Mock 141,NovaEnergy-141,Facility,SHMIY,4,37.7749,52.82802587,non-operating
NovaEnergy Mock 142,NovaEnergy-142,Facility,SHMIY,4,34.0522,57.14039476,operating
NovaEnergy Mock 143,NovaEnergy-143,Facility,SHMIY,4,30.3295,61.45276364,non-operating
NovaEnergy Mock 144,NovaEnergy-144,Facility,Aurora ,4,26.6068,65.76513252,operating
NovaEnergy Mock 145,NovaEnergy-145,Facility,Aurora ,4,22.8841,70.0775014,non-operating
NovaEnergy Mock 146,NovaEnergy-146,Facility,Aurora ,4,19.1614,74.38987028,operating
NovaEnergy Mock 147,NovaEnergy-147,Facility,Aurora ,4,15.4387,78.70223916,non-operating
NovaEnergy Mock 148,NovaEnergy-148,Facility,Aurora ,4,37.7749,83.01460804,operating
NovaEnergy Mock 149,NovaEnergy-149,Facility,Aurora ,4,34.0522,87.32697692,operating
NovaEnergy Mock 150,NovaEnergy-150,Facility,Aurora ,4,30.3295,91.6393458,non-operating
NovaEnergy Mock 151,NovaEnergy-151,Facility,Aurora ,4,26.6068,95.95171469,operating
NovaEnergy Mock 152,NovaEnergy-152,Facility,Aurora ,4,22.8841,100.2640836,non-operating
NovaEnergy Mock 153,NovaEnergy-153,Facility,Aurora ,4,19.1614,104.5764524,operating
NovaEnergy Mock 154,NovaEnergy-154,Facility,Aurora ,4,15.4387,108.8888213,non-operating
NovaEnergy Mock 155,NovaEnergy-155,Facility,Aurora ,4,37.7749,113.2011902,operating
NovaEnergy Mock 156,NovaEnergy-156,Facility,Aurora ,4,34.0522,117.5135591,non-operating
NovaEnergy Mock 157,NovaEnergy-157,Facility,Aurora ,4,30.3295,121.825928,operating
NovaEnergy Mock 158,NovaEnergy-158,Facility,Aurora ,4,26.6068,126.1382969,non-operating
NovaEnergy Mock 159,NovaEnergy-159,Facility,Aurora ,4,22.8841,130.4506657,operating
NovaEnergy Mock 160,NovaEnergy-160,Facility,Aurora ,4,19.1614,-122.4194,operating
NovaEnergy Mock 161,NovaEnergy-161,Facility,Aurora ,4,15.4387,-118.2437,non-operating
NovaEnergy Mock 162,NovaEnergy-162,Facility,Aurora ,4,37.7749,-74.006,operating
NovaEnergy Mock 163,NovaEnergy-163,Facility,Aurora ,4,34.0522,-0.1278,non-operating
NovaEnergy Mock 164,NovaEnergy-164,Facility,Aurora ,4,30.3295,-122.4194,operating
NovaEnergy Mock 165,NovaEnergy-165,Facility,Aurora ,4,26.6068,-118.2437,non-operating
NovaEnergy Mock 166,NovaEnergy-166,Facility,Aurora ,4,22.8841,-74.006,operating
NovaEnergy Mock 167,NovaEnergy-167,Facility,Aurora ,4,19.1614,-0.1278,non-operating
NovaEnergy Mock 168,NovaEnergy-168,Facility,Aurora ,4,15.4387,-122.4194,operating
NovaEnergy Mock 169,NovaEnergy-169,Facility,Aurora ,4,37.7749,-118.2437,non-operating
NovaEnergy Mock 170,NovaEnergy-170,Facility,Aurora ,4,34.0522,-74.006,operating
NovaEnergy Mock 171,NovaEnergy-171,Facility,Aurora ,4,30.3295,-0.1278,operating
NovaEnergy Mock 172,NovaEnergy-172,Facility,Aurora ,4,26.6068,-50.66882727,non-operating
NovaEnergy Mock 173,NovaEnergy-173,Facility,Aurora ,4,22.8841,-46.35645839,operating
NovaEnergy Mock 174,NovaEnergy-174,Facility,Aurora ,4,19.1614,-42.04408951,non-operating
NovaEnergy Mock 175,NovaEnergy-175,Facility,Aurora ,4,15.4387,-37.73172063,operating
NovaEnergy Mock 176,NovaEnergy-176,Facility,Aurora ,4,37.7749,-33.41935175,non-operating
NovaEnergy Mock 177,NovaEnergy-177,Facility,Aurora ,4,34.0522,-29.10698287,operating
NovaEnergy Mock 178,NovaEnergy-178,Facility,Aurora ,4,30.3295,-24.79461399,non-operating
NovaEnergy Mock 179,NovaEnergy-179,Facility,Aurora ,4,26.6068,-20.4822451,operating
NovaEnergy Mock 180,NovaEnergy-180,Facility,Aurora ,4,22.8841,-16.16987622,non-operating
NovaEnergy Mock 181,NovaEnergy-181,Facility,Aurora ,4,19.1614,-11.85750734,operating
NovaEnergy Mock 182,NovaEnergy-182,Facility,Aurora ,4,15.4387,-7.545138462,operating
NovaEnergy Mock 183,NovaEnergy-183,Facility,Aurora ,4,37.7749,-3.23276958,non-operating
NovaEnergy Mock 184,NovaEnergy-184,Facility,Aurora ,4,34.0522,1.079599301,operating
NovaEnergy Mock 185,NovaEnergy-185,Facility,Aurora ,4,30.3295,5.391968182,non-operating
NovaEnergy Mock 186,NovaEnergy-186,Facility,Aurora ,4,26.6068,9.704337063,operating
FrontierEnergy Mock 1,NovaEnergy-187,Facility,FrontierEnergy ,4,22.8841,14.01670594,non-operating
FrontierEnergy Mock 2,NovaEnergy-188,Facility,FrontierEnergy ,4,19.1614,18.32907483,operating
FrontierEnergy Mock 3,NovaEnergy-189,Facility,FrontierEnergy ,4,15.4387,22.64144371,non-operating
FrontierEnergy Mock 4,NovaEnergy-190,Facility,FrontierEnergy ,4,37.7749,26.95381259,operating
FrontierEnergy Mock 5,NovaEnergy-191,Facility,FrontierEnergy ,4,34.0522,31.26618147,non-operating
FrontierEnergy Mock 6,NovaEnergy-192,Facility,FrontierEnergy ,4,30.3295,35.57855035,operating
FrontierEnergy Mock 7,NovaEnergy-193,Facility,FrontierEnergy ,4,26.6068,39.89091923,operating
FrontierEnergy Mock 8,NovaEnergy-194,Facility,FrontierEnergy ,4,22.8841,44.20328811,non-operating
FrontierEnergy Mock 9,NovaEnergy-195,Facility,FrontierEnergy ,4,19.1614,48.51565699,operating
FrontierEnergy Mock 10,NovaEnergy-196,Facility,FrontierEnergy ,4,15.4387,52.82802587,non-operating
FrontierEnergy Mock 11,NovaEnergy-197,Facility,FrontierEnergy ,4,37.7749,57.14039476,operating
FrontierEnergy Mock 12,NovaEnergy-198,Facility,FrontierEnergy ,4,34.0522,61.45276364,non-operating
FrontierEnergy Mock 13,NovaEnergy-199,Facility,FrontierEnergy ,4,30.3295,65.76513252,operating
FrontierEnergy Mock 14,NovaEnergy-200,Facility,FrontierEnergy ,4,26.6068,70.0775014,non-operating
FrontierEnergy Mock 15,FAC-BF9-M ,Facility ,FrontierEnergy ,4,22.8841,74.38987028,operating
FrontierEnergy Mock 16,FAC-BZ7-R ,Facility ,FrontierEnergy ,4,19.1614,78.70223916,non-operating
FrontierEnergy Mock 17,FAC-CG9-P ,Facility ,FrontierEnergy ,4,15.4387,83.01460804,operating
FrontierEnergy Mock 18,FAC-OC0-O ,Facility ,FrontierEnergy ,4,37.7749,87.32697692,operating
FrontierEnergy Mock 19,FAC-RJ2-G ,Facility ,FrontierEnergy ,4,34.0522,91.6393458,non-operating
FrontierEnergy Mock 20,FAC-MU5-L ,Facility ,FrontierEnergy ,4,30.3295,95.95171469,operating
FrontierEnergy Mock 21,FAC-OY4-N ,Facility ,FrontierEnergy ,4,26.6068,100.2640836,non-operating
FrontierEnergy Mock 22,FAC-DZ7-F ,Facility ,FrontierEnergy ,4,22.8841,104.5764524,operating
FrontierEnergy Mock 23,FAC-IF8-Z ,Facility ,FrontierEnergy ,4,19.1614,108.8888213,non-operating
FrontierEnergy Mock 24,FAC-NP1-E ,Facility ,FrontierEnergy ,4,15.4387,113.2011902,operating
FrontierEnergy Mock 25,FAC-PP7-A ,Facility ,FrontierEnergy ,4,37.7749,117.5135591,non-operating
FrontierEnergy Mock 26,FAC-SX5-X ,Facility,FrontierEnergy ,4,34.0522,121.825928,operating
