id,name,group,parentId,level
America Mock 56,America-56,Facility,NovaEnergy,4
Asia Mock 57,Asia-57,Facility,RudraOil,4
America Mock 58,America-58,Facility,RudraOil,4
South America Mock 59,South America-59,Facility,RudraOil,4
South America Mock 60,South America-60,Facility,RudraOil,4
America Mock 61,America-61,Facility,RudraOil,4
Europe Mock 62,Europe-62,Facility,RudraOil,4
South America Mock 63,South America-63,Facility,RudraOil,4
Europe Mock 64,Europe-64,Facility,RudraOil,4
Australia Mock 65,Australia-65,Facility,RudraOil,4
Australia Mock 66,Australia-66,Facility,RudraOil,4
Australia Mock 67,Australia-67,Facility,RudraOil,4
South America Mock 68,South America-68,Facility,RudraOil,4
America Mock 69,America-69,Facility,RudraOil,4
America Mock 70,America-70,Facility,RudraOil,4
South America Mock 71,South America-71,Facility,RudraOil,4
Australia Mock 72,Australia-72,Facility,RudraOil,4
South America Mock 73,South America-73,Facility,RudraOil,4
America Mock 74,America-74,Facility,RudraOil,4
South America Mock 75,South America-75,Facility,RudraOil,4
Europe Mock 76,Europe-76,Facility,RudraOil,4
Europe Mock 77,Europe-77,Facility,RudraOil,4
South America Mock 78,South America-78,Facility,RudraOil,4
Australia Mock 79,Australia-79,Facility,Australia,4
Asia Mock 80,Asia-80,Facility,Rudra,4
Asia Mock 81,Asia-81,Facility,Rudra,4
Asia Mock 82,Asia-82,Facility,Rudra,4
Europe Mock 83,Europe-83,Facility,Rudra,4
Australia Mock 84,Australia-84,Facility,Rudra,4
South America Mock 85,South America-85,Facility,Rudra,4
South America Mock 86,South America-86,Facility,Rudra,4
South America Mock 87,South America-87,Facility,Rudra,4
Europe Mock 88,Europe-88,Facility,Rudra,4
Asia Mock 89,Asia-89,Facility,Rudra,4
Europe Mock 90,Europe-90,Facility,Rudra,4
America Mock 91,America-91,Facility,Rudra,4
Europe Mock 92,Europe-92,Facility,Rudra,4
Europe Mock 93,Europe-93,Facility,Rudra,4
Asia Mock 94,Asia-94,Facility,Rudra,4
South America Mock 95,South America-95,Facility,Rudra,4
Europe Mock 96,Europe-96,Facility,Rudra,4
South America Mock 97,South America-97,Facility,Rudra,4
America Mock 98,America-98,Facility,Rudra,4
Asia Mock 99,Asia-99,Facility,Rudra,4
Australia Mock 100,Australia-100,Facility,Rudra,4
NovaEnergy Mock 101,NovaEnergy-101,Facility,Rudra,4
NovaEnergy Mock 102,NovaEnergy-102,Facility,Rudra,4
NovaEnergy Mock 103,NovaEnergy-103,Facility,Rudra,4
NovaEnergy Mock 104,NovaEnergy-104,Facility,Rudra,4
NovaEnergy Mock 105,NovaEnergy-105,Facility,Rudra,4
NovaEnergy Mock 106,NovaEnergy-106,Facility,Rudra,4
NovaEnergy Mock 107,NovaEnergy-107,Facility,Rudra,4
NovaEnergy Mock 108,NovaEnergy-108,Facility,Rudra,4
NovaEnergy Mock 109,NovaEnergy-109,Facility,Rudra,4
NovaEnergy Mock 110,NovaEnergy-110,Facility,Rudra,4
NovaEnergy Mock 111,NovaEnergy-111,Facility,Rudra,4
NovaEnergy Mock 112,NovaEnergy-112,Facility,SHMIY,4
NovaEnergy Mock 113,NovaEnergy-113,Facility,SHMIY,4
NovaEnergy Mock 114,NovaEnergy-114,Facility,SHMIY,4
NovaEnergy Mock 115,NovaEnergy-115,Facility,SHMIY,4
NovaEnergy Mock 116,NovaEnergy-116,Facility,SHMIY,4
NovaEnergy Mock 117,NovaEnergy-117,Facility,SHMIY,4
NovaEnergy Mock 118,NovaEnergy-118,Facility,SHMIY,4
NovaEnergy Mock 119,NovaEnergy-119,Facility,SHMIY,4
NovaEnergy Mock 120,NovaEnergy-120,Facility,SHMIY,4
NovaEnergy Mock 121,NovaEnergy-121,Facility,SHMIY,4
NovaEnergy Mock 122,NovaEnergy-122,Facility,SHMIY,4
NovaEnergy Mock 123,NovaEnergy-123,Facility,SHMIY,4
NovaEnergy Mock 124,NovaEnergy-124,Facility,SHMIY,4
NovaEnergy Mock 125,NovaEnergy-125,Facility,SHMIY,4
NovaEnergy Mock 126,NovaEnergy-126,Facility,SHMIY,4
NovaEnergy Mock 127,NovaEnergy-127,Facility,SHMIY,4
NovaEnergy Mock 128,NovaEnergy-128,Facility,SHMIY,4
NovaEnergy Mock 129,NovaEnergy-129,Facility,SHMIY,4
NovaEnergy Mock 130,NovaEnergy-130,Facility,SHMIY,4
NovaEnergy Mock 131,NovaEnergy-131,Facility,SHMIY,4
NovaEnergy Mock 132,NovaEnergy-132,Facility,SHMIY,4
NovaEnergy Mock 133,NovaEnergy-133,Facility,SHMIY,4
NovaEnergy Mock 134,NovaEnergy-134,Facility,SHMIY,4
NovaEnergy Mock 135,NovaEnergy-135,Facility,SHMIY,4
NovaEnergy Mock 136,NovaEnergy-136,Facility,SHMIY,4
NovaEnergy Mock 137,NovaEnergy-137,Facility,SHMIY,4
NovaEnergy Mock 138,NovaEnergy-138,Facility,SHMIY,4
NovaEnergy Mock 139,NovaEnergy-139,Facility,SHMIY,4
NovaEnergy Mock 140,NovaEnergy-140,Facility,SHMIY,4
NovaEnergy Mock 141,NovaEnergy-141,Facility,SHMIY,4
NovaEnergy Mock 142,NovaEnergy-142,Facility,SHMIY,4
NovaEnergy Mock 143,NovaEnergy-143,Facility,SHMIY,4
NovaEnergy Mock 144,NovaEnergy-144,Facility,Aurora ,4
NovaEnergy Mock 145,NovaEnergy-145,Facility,Aurora ,4
NovaEnergy Mock 146,NovaEnergy-146,Facility,Aurora ,4
NovaEnergy Mock 147,NovaEnergy-147,Facility,Aurora ,4
NovaEnergy Mock 148,NovaEnergy-148,Facility,Aurora ,4
NovaEnergy Mock 149,NovaEnergy-149,Facility,Aurora ,4
NovaEnergy Mock 150,NovaEnergy-150,Facility,Aurora ,4
NovaEnergy Mock 151,NovaEnergy-151,Facility,Aurora ,4
NovaEnergy Mock 152,NovaEnergy-152,Facility,Aurora ,4
NovaEnergy Mock 153,NovaEnergy-153,Facility,Aurora ,4
NovaEnergy Mock 154,NovaEnergy-154,Facility,Aurora ,4
NovaEnergy Mock 155,NovaEnergy-155,Facility,Aurora ,4
NovaEnergy Mock 156,NovaEnergy-156,Facility,Aurora ,4
NovaEnergy Mock 157,NovaEnergy-157,Facility,Aurora ,4
NovaEnergy Mock 158,NovaEnergy-158,Facility,Aurora ,4
NovaEnergy Mock 159,NovaEnergy-159,Facility,Aurora ,4
NovaEnergy Mock 160,NovaEnergy-160,Facility,Aurora ,4
NovaEnergy Mock 161,NovaEnergy-161,Facility,Aurora ,4
NovaEnergy Mock 162,NovaEnergy-162,Facility,Aurora ,4
NovaEnergy Mock 163,NovaEnergy-163,Facility,Aurora ,4
NovaEnergy Mock 164,NovaEnergy-164,Facility,Aurora ,4
NovaEnergy Mock 165,NovaEnergy-165,Facility,Aurora ,4
NovaEnergy Mock 166,NovaEnergy-166,Facility,Aurora ,4
NovaEnergy Mock 167,NovaEnergy-167,Facility,Aurora ,4
NovaEnergy Mock 168,NovaEnergy-168,Facility,Aurora ,4
NovaEnergy Mock 169,NovaEnergy-169,Facility,Aurora ,4
NovaEnergy Mock 170,NovaEnergy-170,Facility,Aurora ,4
NovaEnergy Mock 171,NovaEnergy-171,Facility,Aurora ,4
NovaEnergy Mock 172,NovaEnergy-172,Facility,Aurora ,4
NovaEnergy Mock 173,NovaEnergy-173,Facility,Aurora ,4
NovaEnergy Mock 174,NovaEnergy-174,Facility,Aurora ,4
NovaEnergy Mock 175,NovaEnergy-175,Facility,Aurora ,4
NovaEnergy Mock 176,NovaEnergy-176,Facility,Aurora ,4
NovaEnergy Mock 177,NovaEnergy-177,Facility,Aurora ,4
NovaEnergy Mock 178,NovaEnergy-178,Facility,Aurora ,4
NovaEnergy Mock 179,NovaEnergy-179,Facility,Aurora ,4
NovaEnergy Mock 180,NovaEnergy-180,Facility,Aurora ,4
NovaEnergy Mock 181,NovaEnergy-181,Facility,Aurora ,4
NovaEnergy Mock 182,NovaEnergy-182,Facility,Aurora ,4
NovaEnergy Mock 183,NovaEnergy-183,Facility,Aurora ,4
NovaEnergy Mock 184,NovaEnergy-184,Facility,Aurora ,4
NovaEnergy Mock 185,NovaEnergy-185,Facility,Aurora ,4
NovaEnergy Mock 186,NovaEnergy-186,Facility,Aurora ,4
FrontierEnergy Mock 1,NovaEnergy-187,Facility,FrontierEnergy ,4
FrontierEnergy Mock 2,NovaEnergy-188,Facility,FrontierEnergy ,4
FrontierEnergy Mock 3,NovaEnergy-189,Facility,FrontierEnergy ,4
FrontierEnergy Mock 4,NovaEnergy-190,Facility,FrontierEnergy ,4
FrontierEnergy Mock 5,NovaEnergy-191,Facility,FrontierEnergy ,4
FrontierEnergy Mock 6,NovaEnergy-192,Facility,FrontierEnergy ,4
FrontierEnergy Mock 7,NovaEnergy-193,Facility,FrontierEnergy ,4
FrontierEnergy Mock 8,NovaEnergy-194,Facility,FrontierEnergy ,4
FrontierEnergy Mock 9,NovaEnergy-195,Facility,FrontierEnergy ,4
FrontierEnergy Mock 10,NovaEnergy-196,Facility,FrontierEnergy ,4
FrontierEnergy Mock 11,NovaEnergy-197,Facility,FrontierEnergy ,4
FrontierEnergy Mock 12,NovaEnergy-198,Facility,FrontierEnergy ,4
FrontierEnergy Mock 13,NovaEnergy-199,Facility,FrontierEnergy ,4
FrontierEnergy Mock 14,NovaEnergy-200,Facility,FrontierEnergy ,4
FrontierEnergy Mock 15,FAC-BF9-M ,Facility ,FrontierEnergy ,4
FrontierEnergy Mock 16,FAC-BZ7-R ,Facility ,FrontierEnergy ,4
FrontierEnergy Mock 17,FAC-CG9-P ,Facility ,FrontierEnergy ,4
FrontierEnergy Mock 18,FAC-OC0-O ,Facility ,FrontierEnergy ,4
FrontierEnergy Mock 19,FAC-RJ2-G ,Facility ,FrontierEnergy ,4
FrontierEnergy Mock 20,FAC-MU5-L ,Facility ,FrontierEnergy ,4
FrontierEnergy Mock 21,FAC-OY4-N ,Facility ,FrontierEnergy ,4
FrontierEnergy Mock 22,FAC-DZ7-F ,Facility ,FrontierEnergy ,4
FrontierEnergy Mock 23,FAC-IF8-Z ,Facility ,FrontierEnergy ,4
FrontierEnergy Mock 24,FAC-NP1-E ,Facility ,FrontierEnergy ,4
FrontierEnergy Mock 25,FAC-PP7-A ,Facility ,FrontierEnergy ,4
FrontierEnergy Mock 26,FAC-SX5-X ,Facility,FrontierEnergy ,4
